file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/Kodezi_Chronos/examples/null_pointer/after.java,UserPreferences,toJson/0,false,114,1,1,1,0,2,1,8,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,7,1,0,false
/tmp/ck-analysis/Kodezi_Chronos/examples/null_pointer/after.java,UserPreferences,getTheme/0,false,110,0,2,2,0,2,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/Kodezi_Chronos/examples/null_pointer/after.java,UserPreferences,createDefault/1[java.lang.Long],false,101,1,2,1,1,1,0,7,1,1,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,9,9,0,false
/tmp/ck-analysis/Kodezi_Chronos/examples/null_pointer/before.java,UserService,"logUserActivity/3[Long,String,String]",false,37,0,0,0,0,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
/tmp/ck-analysis/Kodezi_Chronos/examples/null_pointer/before.java,UserService,"UserService/2[PreferenceManager,NotificationHandler]",true,6,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/Kodezi_Chronos/examples/null_pointer/before.java,UserService,"updateUserSettings/2[Long,Map<String,Object>]",false,11,4,0,0,0,3,11,14,0,4,2,11,0,0,0,0,0,0,3,0,4,0,1,0,0,0,14,1,0,false
/tmp/ck-analysis/Kodezi_Chronos/examples/null_pointer/before.java,NotificationHandler,"sendSettingsUpdateEmail/2[User,UserPreferences]",false,59,2,0,0,0,1,6,8,0,3,2,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,10,1,0,false
/tmp/ck-analysis/Kodezi_Chronos/benchmarks/mrr_full_benchmark/artifacts/code_snippets/mrr_cross_category_0057_file_21.java,DataManager,DataManager/1[Config],true,14,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/Kodezi_Chronos/benchmarks/mrr_full_benchmark/artifacts/code_snippets/mrr_cross_category_0057_file_21.java,DataManager,getData/1[String],false,19,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/Kodezi_Chronos/examples/null_pointer/before.java,PreferenceManager,save/1[UserPreferences],false,52,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/Kodezi_Chronos/examples/null_pointer/before.java,PreferenceManager,getPreferences/1[Long],false,47,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
