repo,reason
Anuken/Mindustry,ck_exit_1
Archmage83/tvapk,empty_metrics
CoderLeixiaoshuai/java-eight-part,empty_metrics
Grasscutters/Grasscutter,timeout
JabRef/jabref,ck_exit_1
JetBrains/intellij-community,timeout
NationalSecurityAgency/ghidra,ck_exit_1
NotFound9/interviewGuide,empty_metrics
RedSpider1/concurrent,empty_metrics
aosp-mirror/platform_frameworks_base,ck_exit_1
apache/groovy,ck_exit_1
apache/hadoop,timeout
apache/shardingsphere,timeout
aws/aws-sdk-java,timeout
checkstyle/checkstyle,timeout
dbeaver/dbeaver,ck_exit_1
dragonwell-project/dragonwell8,timeout
elastic/elasticsearch,timeout
facebook/buck,timeout
frank-lam/fullstack-tutorial,empty_metrics
google/ExoPlayer,timeout
google/j2objc,ck_exit_1
haifengl/smile,timeout
hazelcast/hazelcast,timeout
hollischuang/toBeTopJavaer,empty_metrics
jlegewie/zotfile,empty_metrics
kestra-io/kestra,ck_exit_1
kubernetes-client/java,timeout
neo4j/neo4j,ck_exit_1
openjdk/jdk,timeout
openzipkin/zipkin,ck_exit_1
oracle/graal,timeout
prestodb/presto,timeout
projectlombok/lombok,timeout
provectus/kafka-ui,ck_exit_1
quarkusio/quarkus,timeout
questdb/questdb,ck_exit_1
react-native-camera/react-native-camera,empty_metrics
thingsboard/thingsboard,ck_exit_1
vavr-io/vavr,timeout
